date,value
1996-02-29,147.03
1996-03-31,147.33
1996-04-30,147.64
1996-05-31,147.94
1996-06-30,148.25
1996-07-31,148.55
1996-08-31,148.86
1996-09-30,149.16
1996-10-31,149.47
1996-11-30,149.78
1996-12-31,150.09
1997-01-31,150.47
1997-02-28,150.85
1997-03-31,151.24
1997-04-30,151.62
1997-05-31,152.01
1997-06-30,152.40
1997-07-31,152.78
1997-08-31,153.17
1997-09-30,153.56
1997-10-31,153.96
1997-11-30,154.35
1997-12-31,154.74
1998-01-31,155.17
1998-02-28,155.61
1998-03-31,156.04
1998-04-30,156.47
1998-05-31,156.91
1998-06-30,157.35
1998-07-31,157.79
1998-08-31,158.23
1998-09-30,158.67
1998-10-31,159.11
1998-11-30,159.56
1998-12-31,160.00
1999-01-31,160.20
1999-02-28,160.40
1999-03-31,160.60
1999-04-30,160.80
1999-05-31,161.00
1999-06-30,161.20
1999-07-31,161.40
1999-08-31,161.60
1999-09-30,161.80
1999-10-31,162.00
1999-11-30,162.20
1999-12-31,162.40
2000-01-31,162.80
2000-02-29,163.20
2000-03-31,163.61
2000-04-30,164.01
2000-05-31,164.41
2000-06-30,164.82
2000-07-31,165.23
2000-08-31,165.63
2000-09-30,166.04
2000-10-31,166.45
2000-11-30,166.86
2000-12-31,167.27
2001-01-31,167.52
2001-02-28,167.77
2001-03-31,168.02
2001-04-30,168.27
2001-05-31,168.52
2001-06-30,168.77
2001-07-31,169.02
2001-08-31,169.27
2001-09-30,169.53
2001-10-31,169.78
2001-11-30,170.03
2001-12-31,170.28
2002-01-31,170.47
2002-02-28,170.65
2002-03-31,170.84
2002-04-30,171.02
2002-05-31,171.20
2002-06-30,171.39
2002-07-31,171.57
2002-08-31,171.76
2002-09-30,171.94
2002-10-31,172.13
2002-11-30,172.31
2002-12-31,172.50
2003-01-31,172.70
2003-02-28,172.90
2003-03-31,173.10
2003-04-30,173.30
2003-05-31,173.50
2003-06-30,173.70
2003-07-31,173.90
2003-08-31,174.10
2003-09-30,174.31
2003-10-31,174.51
2003-11-30,174.71
2003-12-31,174.91
2004-01-31,175.10
2004-02-29,175.29
2004-03-31,175.48
2004-04-30,175.67
2004-05-31,175.86
2004-06-30,176.05
2004-07-31,176.24
2004-08-31,176.43
2004-09-30,176.62
2004-10-31,176.81
2004-11-30,177.00
2004-12-31,177.19
2005-01-31,177.49
2005-02-28,177.80
2005-03-31,178.11
2005-04-30,178.42
2005-05-31,178.73
2005-06-30,179.04
2005-07-31,179.35
2005-08-31,179.66
2005-09-30,179.97
2005-10-31,180.28
2005-11-30,180.60
2005-12-31,180.91
2006-01-31,181.25
2006-02-28,181.59
2006-03-31,181.94
2006-04-30,182.28
2006-05-31,182.63
2006-06-30,182.98
2006-07-31,183.32
2006-08-31,183.67
2006-09-30,184.02
2006-10-31,184.37
2006-11-30,184.72
2006-12-31,185.07
2007-01-31,185.42
2007-02-28,185.77
2007-03-31,186.12
2007-04-30,186.48
2007-05-31,186.83
2007-06-30,187.19
2007-07-31,187.54
2007-08-31,187.90
2007-09-30,188.25
2007-10-31,188.61
2007-11-30,188.97
2007-12-31,189.33
2008-01-31,189.88
2008-02-29,190.44
2008-03-31,191.01
2008-04-30,191.57
2008-05-31,192.14
2008-06-30,192.70
2008-07-31,193.27
2008-08-31,193.84
2008-09-30,194.41
2008-10-31,194.99
2008-11-30,195.56
2008-12-31,196.14
2009-01-31,196.50
2009-02-28,196.85
2009-03-31,197.21
2009-04-30,197.57
2009-05-31,197.93
2009-06-30,198.29
2009-07-31,198.65
2009-08-31,199.01
2009-09-30,199.37
2009-10-31,199.73
2009-11-30,200.09
2009-12-31,200.46
2010-01-31,201.00
2010-02-28,201.54
2010-03-31,202.09
2010-04-30,202.64
2010-05-31,203.19
2010-06-30,203.74
2010-07-31,204.29
2010-08-31,204.84
2010-09-30,205.40
2010-10-31,205.95
2010-11-30,206.51
2010-12-31,207.07
2011-01-31,207.83
2011-02-28,208.60
2011-03-31,209.36
2011-04-30,210.13
2011-05-31,210.90
2011-06-30,211.68
2011-07-31,212.46
2011-08-31,213.24
2011-09-30,214.02
2011-10-31,214.81
2011-11-30,215.60
2011-12-31,216.39
2012-01-31,216.89
2012-02-29,217.39
2012-03-31,217.89
2012-04-30,218.39
2012-05-31,218.89
2012-06-30,219.40
2012-07-31,219.90
2012-08-31,220.41
2012-09-30,220.92
2012-10-31,221.43
2012-11-30,221.94
2012-12-31,222.45
2013-01-31,222.92
2013-02-28,223.40
2013-03-31,223.88
2013-04-30,224.36
2013-05-31,224.84
2013-06-30,225.32
2013-07-31,225.80
2013-08-31,226.29
2013-09-30,226.77
2013-10-31,227.26
2013-11-30,227.74
2013-12-31,228.23
2014-01-31,228.52
2014-02-28,228.80
2014-03-31,229.08
2014-04-30,229.37
2014-05-31,229.65
2014-06-30,229.94
2014-07-31,230.22
2014-08-31,230.51
2014-09-30,230.80
2014-10-31,231.08
2014-11-30,231.37
2014-12-31,231.66
2015-01-31,231.66
2015-02-28,231.66
2015-03-31,231.66
2015-04-30,231.66
2015-05-31,231.66
2015-06-30,231.66
2015-07-31,231.66
2015-08-31,231.66
2015-09-30,231.66
2015-10-31,231.66
2015-11-30,231.66
2015-12-31,231.66
2016-01-31,231.79
2016-02-29,231.93
2016-03-31,232.06
2016-04-30,232.19
2016-05-31,232.33
2016-06-30,232.47
2016-07-31,232.60
2016-08-31,232.74
2016-09-30,232.87
2016-10-31,233.01
2016-11-30,233.14
2016-12-31,233.28
2017-01-31,233.80
2017-02-28,234.32
2017-03-31,234.84
2017-04-30,235.36
2017-05-31,235.88
2017-06-30,236.41
2017-07-31,236.93
2017-08-31,237.46
2017-09-30,237.99
2017-10-31,238.51
2017-11-30,239.04
2017-12-31,239.58
2018-01-31,240.07
2018-02-28,240.56
2018-03-31,241.06
2018-04-30,241.56
2018-05-31,242.05
2018-06-30,242.55
2018-07-31,243.05
2018-08-31,243.55
2018-09-30,244.05
2018-10-31,244.56
2018-11-30,245.06
2018-12-31,245.57
2019-01-31,245.93
2019-02-28,246.30
2019-03-31,246.66
2019-04-30,247.03
2019-05-31,247.40
2019-06-30,247.77
2019-07-31,248.13
2019-08-31,248.50
2019-09-30,248.87
2019-10-31,249.24
2019-11-30,249.61
2019-12-31,249.99
2020-01-31,250.17
2020-02-29,250.36
2020-03-31,250.55
2020-04-30,250.73
2020-05-31,250.92
2020-06-30,251.11
2020-07-31,251.30
2020-08-31,251.48
2020-09-30,251.67
2020-10-31,251.86
2020-11-30,252.05
2020-12-31,252.24
2021-01-31,252.78
2021-02-28,253.32
2021-03-31,253.86
2021-04-30,254.40
2021-05-31,254.95
2021-06-30,255.49
2021-07-31,256.04
2021-08-31,256.59
2021-09-30,257.14
2021-10-31,257.69
2021-11-30,258.24
2021-12-31,258.79
2022-01-31,260.68
2022-02-28,262.58
2022-03-31,264.49
2022-04-30,266.42
2022-05-31,268.36
2022-06-30,270.31
2022-07-31,272.28
2022-08-31,274.26
2022-09-30,276.26
2022-10-31,278.27
2022-11-30,280.30
2022-12-31,282.34
2023-01-31,284.01
2023-02-28,285.68
2023-03-31,287.36
2023-04-30,289.05
2023-05-31,290.76
2023-06-30,292.47
2023-07-31,294.19
2023-08-31,295.92
2023-09-30,297.66
2023-10-31,299.42
2023-11-30,301.18
2023-12-31,302.95
2024-01-31,303.78
2024-02-29,304.60
2024-03-31,305.42
2024-04-30,306.25
2024-05-31,307.08
2024-06-30,307.91
2024-07-31,308.75
2024-08-31,309.58
2024-09-30,310.42
2024-10-31,311.26
2024-11-30,312.11
2024-12-31,312.95
2025-01-31,313.60
2025-02-28,314.24
2025-03-31,314.89
2025-04-30,315.54
2025-05-31,316.19
2025-06-30,316.84
2025-07-31,317.49
2025-08-31,318.15
2025-09-30,318.80
2025-10-31,319.46
2025-11-30,320.12
2025-12-31,320.78
2026-01-31,321.36
2026-02-28,321.94
2026-03-31,322.53
2026-04-30,323.11
